Date,Tweet,Sen,Link
2022/4/1 21:29,"?????????#BREAKING 
Multiple explosions heard in Dnipro and Kryvyi Rih (Dnipro region ) 
Stay sheltered! 
#Ukraine¡­ https://t.co/59MyNh6ZxT",,https://t.co/59MyNh6Zx
2022/4/1 21:30,#CrudeOil fell in Asian deals on Friday after US President Joe Biden announced the release of 1 million barrels of¡­ https://t.co/bD4ASOner6,,https://t.co/bD4ASOner
2022/4/1 21:28,"#We are Anonymous
We have leaked cls[.Jru Capital Legal
Services Law Firm emails. 60GB of emails.
We need everyone¡­ https://t.co/AhfdO2Oo6L",1,https://t.co/AhfdO2Oo6
2022/4/1 21:30,#WeStandWithUkraine #StandWithUkraine @DonMari09436411 A Belarusian battalion fights in Ukraine ¡®for both countries¡­ https://t.co/UwnXPbMju6,,https://t.co/UwnXPbMju
2022/4/1 21:29,"#Zelensky threatenin #Morocco for not stoppin doing business w/#Russia, #Ukraine ambassodor to nation will be remov¡­ https://t.co/g6FQDsiygh",,https://t.co/g6FQDsiyg
2022/4/1 21:30,".@antaragsingh: At a time when the US and #Europe have formed a strong anti-Russian united front, #China is increas¡­ https://t.co/2Adsf0nXY6",,https://t.co/2Adsf0nXY
2022/4/1 21:29,@aaronjmate You are now supporting Trump in his attempt to not be charged for an attempted coup (nothing directly t¡­ https://t.co/lh8iQF2iHg,1,https://t.co/lh8iQF2iH
2022/4/1 21:29,@Adrian81095927 @Refugees @FilippoGrandi you seriously are going to tell me that the inhabitance of Mariupol who ha¡­ https://t.co/qYpeVychgz,,https://t.co/qYpeVychg
2022/4/1 21:30,@AlArabiya_Brk https://t.co/PNzwK5pW9n Putin's nightmare: In Ukraine Russian soldiers defect and join the Legion "F¡­ https://t.co/Ks8wg64ZgR,,https://t.co/PNzwK5pW9n Putin's nightmare: In Ukraine Russian soldiers defect and join the Legion "F¡­ https://t.co/Ks8wg64Zg
2022/4/1 21:29,"?@BBCNews? ?@UN? ?@NATO? ?@MFA_Ukraine? ?@mfa_russia? @tesla ?@Meta? ?@Apple ?@netflix? ?@Google? ?@Twitter?
Thanks¡­ https://t.co/KYZwnfMN6t",,https://t.co/KYZwnfMN6
2022/4/1 21:29,"@brianschatz @ChrisMurphyCT @tedlieu @RepSwalwell @SenAlexPadilla 
Please read this thread.  
Please read : re Ukra¡­ https://t.co/hHIfydhwP4",,https://t.co/hHIfydhwP
2022/4/1 21:30,@C1Christine @goombar3 @botrot49 @JohnSteiner32 @abbienormal @KpsZSU @NATO Hitler didn't have the capability to sta¡­ https://t.co/u6GkGoFJFO,,https://t.co/u6GkGoFJF
2022/4/1 21:29,@CyrusShares Biden said prior to the invasion that he believed it is in our interest for Russia to get bogged down¡­ https://t.co/RQt3u1gCSU,1,https://t.co/RQt3u1gCS
2022/4/1 21:30,@deepExperiences @redtailredux @KyivIndependent Are the stores that are being looted located in Ukraine or Russia?,,#VALUE!
2022/4/1 21:29,@DrAmbardar Constant demonizing of India by Western media has resulted in total lack of trust.  Genocide denial by¡­ https://t.co/FOEdKRb8R6,0,https://t.co/FOEdKRb8R
2022/4/1 21:30,"@DrAMSinghvi @pallavisinha924 Russia stopped selling weapons to Pakistan USA kept on selling.
So did Ukraine, kept¡­ https://t.co/3EoxqULgov",,https://t.co/3EoxqULgo
2022/4/1 21:30,@Fan_Of_News "We are warning US citizens that the Russian government security officials in both Russia and in Ukrai¡­ https://t.co/uw6ggnJPtD,,https://t.co/uw6ggnJPt
2022/4/1 21:30,"@IkerVancourt @AlexKokcharov Being Ukraine a part of that very ¡°corrupt and brainless¡± Russia. 
Do not try to take¡­ https://t.co/shzzDvcx8B",,https://t.co/shzzDvcx8
2022/4/1 21:30,@InfoResist https://t.co/PNzwK5pW9n Putin's nightmare: In Ukraine Russian soldiers defect and join the Legion "Free¡­ https://t.co/W9eVtAMcKn,,https://t.co/PNzwK5pW9n Putin's nightmare: In Ukraine Russian soldiers defect and join the Legion "Free¡­ https://t.co/W9eVtAMcK
2022/4/1 21:30,"@JamesMLindsay @CFR_org @mkimmage We're ALWAYS the warmongerer

Neutral Ukraine or nuclear war...toUgh deCiSioN
https://t.co/v11b3CGilN",1,https://t.co/v11b3CGil
2022/4/1 21:29,@Johnjohn1347 @Ibaragetr @mfa_russia @OSCE @RusembUkraine @MFA_Ukraine @OSCE_SMM @RF_OSCE @mission_russian now weak¡­ https://t.co/gNrWRoGpyE,1,https://t.co/gNrWRoGpy
2022/4/1 21:29,@jonrms @RALee85 How would they do that when Russia controls the entire Estern side of the country.  Ukraine does n¡­ https://t.co/cofrtDvsDe,0,https://t.co/cofrtDvsD
2022/4/1 21:30,@Kabmin_UA_e The aerial attack on the fuel depot inside Russia is primarily defensive in nature. It will drasticall¡­ https://t.co/PisLGf7O4h,0,https://t.co/PisLGf7O4
2022/4/1 21:30,@KeirGiles @ambalbi it is basic.  Putin must be destroyed.  It is folly to give Russia even an acre of Ukraine's territory.,1,#VALUE!
2022/4/1 21:30,@Kevinparnell99 @FrescoHagel Have you been following the war between Ukraine and Russia?,0,#VALUE!
2022/4/1 21:29,"@Klamberg Ukraine should be bombing more parts of Russia, it¡¯s called war , there¡¯s nothing that says you can¡¯t retaliate or counter attack",1,#VALUE!
2022/4/1 21:30,"@lacroicsz Why do you have to empower Tucker Carlson though, who lies about vaccines, immigrants, and Russia¡¯s war¡­ https://t.co/j8RvBYbQhX",-1,https://t.co/j8RvBYbQh
2022/4/1 21:30,@Margiedaly4 @CucuillinSkyes Well it was in the Ukraine maybe it's gone to Russia now or maybe it was always in Rus¡­ https://t.co/PSDTAFlQ7R,0,https://t.co/PSDTAFlQ7
2022/4/1 21:30,@martinjenne01 @ViktoriiaUAH Russia had independent media in 2014 when the war on Ukraine began. Plenty of time to¡­ https://t.co/lTyDblREiI,1,https://t.co/lTyDblREi
2022/4/1 21:29,@mitalpatel9012 @ANI The USA? Russia invaded Ukraine.,1,#VALUE!
2022/4/1 21:29,@nytimes Keeping promises (Minks agreement) is the basis of democracy. The peace talks between the leaders of Ukrai¡­ https://t.co/5OSzajbHnz,0,https://t.co/5OSzajbHn
2022/4/1 21:29,@oleksiireznikov The aerial attack on the fuel depot inside Russia is primarily defensive in nature. It will drasti¡­ https://t.co/5WexDRzQai,0,https://t.co/5WexDRzQa
2022/4/1 21:29,@olgatokariuk She's safer in Russia but many people in Ukraine are too afraid to say the reason why.,1,#VALUE!
2022/4/1 21:29,"@OsintTv After seeing Russia getting destroyed by Ukraine famers, it¡¯s best India make their our own weapons..",-1,#VALUE!
2022/4/1 21:29,"@Poland @Ukraine On the weekend, I urge you to go to the nearest Auchan store in your city and picket it up. If you¡­ https://t.co/bUlHGpkc2j",1,https://t.co/bUlHGpkc2
2022/4/1 21:29,@PremierImproves @Nockit1 @chimera414 @Diar380 @raouldukeerik @WendyOrent @pompili_amanda @AspAlaAsnAsnTyr¡­ https://t.co/JMO2oelogK,-1,https://t.co/JMO2oelog
2022/4/1 21:30,"@Quicktake If Ukranian forces did bomb the Russian fuel depot, good for them. It's the height of hypocricy for Russ¡­ https://t.co/PG9mOLyllM",1,https://t.co/PG9mOLyll
2022/4/1 21:28,@Reuters Russia must leave the whole of Ukraine including #Crimea,1,#VALUE!
2022/4/1 21:30,@roque_coral @GasandgamesHk @WhatTheFrick99 @EmearsL @poldiscoursebot It doesnt matter what a referendum in 2014 sa¡­ https://t.co/0lULo1OYVS,1,https://t.co/0lULo1OYV
2022/4/1 21:30,@RussiaUN @MID_RF @RusEmbSyria @rusembleb @israel_mid_ru @RusEmbTurkey @RusEmbassyIraq @RusEmb_KSA @rianru¡­ https://t.co/oNJQlpUKF1,1,https://t.co/oNJQlpUKF
2022/4/1 21:30,@Smart_Sapper12B @TheWouston Lol Russia is actually winning and there are dozens of Ukraine Nato Equipment captured,-1,#VALUE!
2022/4/1 21:29,@StephenKlebs @juliaioffe And that big lie is exactly what Putin is selling to the Russian people now. Ukraine opte¡­ https://t.co/vAJ54LeHMF,1,https://t.co/vAJ54LeHM
2022/4/1 21:29,"@SuheylaTopuz @SamRamani2 The war goes on until Russia is out, as far as we're concerned. We don't need any additio¡­ https://t.co/dxzQzpKkNf",1,https://t.co/dxzQzpKkN
2022/4/1 21:29,@The_IntelHub i was in the army for 9 and half years I saw my share of training accidents during joint operations o¡­ https://t.co/iJGGnLncFp,0,https://t.co/iJGGnLncF
2022/4/1 21:29,@washingtonpost @Russia has been non-stop bombing civilian infrastructure. They started this invasion. Ukraine figh¡­ https://t.co/8dUV0Cipch,1,https://t.co/8dUV0Cipc
2022/4/1 21:28,"@WHCOS Inflation at 40-year high, Russia-Ukraine war shows no sign of abating, COVID cases climbing. Tweets like th¡­ https://t.co/YDOawsmYvY",0,https://t.co/YDOawsmYv
2022/4/1 21:30,"@Zenomus @nenuhnet @IAPonomarenko It isn¡¯t classified as a chemical weapon.
Just highly frowned upon to use.

https://t.co/lM6XwYoS4i",1,https://t.co/lM6XwYoS4
2022/4/1 21:29,"¡®When they left, Ukraine's ministry added, the Russian troops looted the power plant, taking ""kettles, lab equipmen¡­ https://t.co/LKQkg0q8b8",-1,https://t.co/LKQkg0q8b
2022/4/1 21:29,"1/9

Although the ??EU-??China summit ended up with no substantial deliverables, EU has made a very good job.

1? E¡­ https://t.co/vhIIOStFQq",1,https://t.co/vhIIOStFQ
2022/4/1 21:30,Amanpour asks top Ukrainian official about strike in Russia. See his answer https://t.co/HllsHTFJzI,1,https://t.co/HllsHTFJz
2022/4/1 21:29,"Amanpour asks top Ukrainian official about strike in Russia. See his answer
https://t.co/emLxbqV5Qh",1,https://t.co/emLxbqV5Q
2022/4/1 21:30,"As Russia¡¯s brutal and wicked war against their innocent neighbors enters its second month, some might suggest God¡­ https://t.co/lIy0DQeL0c",1,https://t.co/lIy0DQeL0
2022/4/1 21:30,"As Russian troops pull back from Chernobyl, Ukraine, a Ukrainian member of parliament believes she knows why.
https://t.co/hm9LjmkGh1",0,https://t.co/hm9LjmkGh
2022/4/1 21:30,As the well known crypto skeptic Sen. Elizabeth Warren puts forth a bill related to Russian actors¡¯ potential use o¡­ https://t.co/s7atcMRLo0,1,https://t.co/s7atcMRLo
